customer_key,customer_id,first_name,last_name,city,state,zip,loyalty_member,join_date
40,40,Nisha,Verma,Jaipur,India,996048,true,2025-03-26
41,41,Neha,Gupta,Amritsar,India,278274,false,2023-01-17
42,42,Pooja,Gupta,Jaipur,India,559451,true,2025-11-26
43,43,Diya,Gupta,Nashik,India,805696,false,2025-09-19
44,44,Simran,Iyer,Kochi,India,613758,true,2023-05-08
45,45,Aditya,Khan,Bhubaneswar,India,136631,false,2024-07-19
46,46,Meera,Mehta,Nashik,India,922209,true,2024-09-17
47,47,Aisha,Patel,Guwahati,India,258823,false,2023-06-04
48,48,Riya,Joshi,Kochi,India,250262,true,2023-09-03
49,49,Aditya,Patel,Nagpur,India,764076,false,2024-06-21
50,50,Kabir,Iyer,Lucknow,India,956748,true,2025-04-07
51,51,Aarav,Khan,Bhubaneswar,India,694319,false,2023-01-20
52,52,Neha,Singh,Nashik,India,224046,true,2024-10-15
53,53,Nisha,Iyer,Ahmedabad,India,155609,false,2025-04-13
54,54,Pooja,Verma,Kochi,India,489957,true,2024-07-23
55,55,Sneha,Gupta,Delhi,India,351451,false,2025-12-13
56,56,Neha,Gupta,Bengaluru,India,711523,true,2025-09-30
57,57,Isha,Verma,Patna,India,311810,false,2025-02-12
58,58,Ananya,Verma,Ranchi,India,194476,true,2025-04-02
59,59,Aisha,Singh,Guwahati,India,698135,false,2024-01-05
60,60,Nisha,Nair,Nashik,India,650233,true,2025-04-10
61,61,Priya,Gupta,Delhi,India,953049,false,2025-01-10
62,62,Aarav,Patel,Ahmedabad,India,120056,true,2024-09-25
63,63,Isha,Gupta,Delhi,India,234415,false,2024-05-02
64,64,Rahul,Mehta,Nashik,India,566882,true,2024-12-04
65,65,Riya,Singh,Dehradun,India,303861,false,2023-06-03
66,66,Kavya,Gupta,Patna,India,965264,true,2024-11-27
67,67,Kavya,Verma,Dehradun,India,326507,false,2023-04-04
68,68,Riya,Gupta,Bengaluru,India,584963,true,2025-06-30
69,69,Aisha,Mehta,Dehradun,India,983811,false,2023-12-23
70,70,Diya,Nair,Mumbai,India,987225,true,2025-03-12
71,71,Rahul,Verma,Ranchi,India,151991,false,2025-02-07
72,72,Vivaan,Sharma,Pune,India,249143,true,2023-12-02
73,73,Aditya,Sharma,Delhi,India,825948,false,2024-11-20
74,74,Sneha,Gupta,Coimbatore,India,599522,true,2024-11-21
75,75,Neha,Patel,Mumbai,India,485777,false,2025-12-02
76,76,Pooja,Nair,Chennai,India,712956,true,2023-02-04
77,77,Vivaan,Singh,Hyderabad,India,906790,false,2025-08-27
78,78,Simran,Khan,Lucknow,India,160692,true,2025-04-05
79,79,Arjun,Nair,Dehradun,India,643176,false,2025-10-17
80,80,Aditya,Sharma,Jaipur,India,185999,true,2025-07-08
81,81,Pooja,Joshi,Nagpur,India,844086,false,2025-09-04
82,82,Neha,Sharma,Nashik,India,695468,true,2023-02-06
83,83,Aditya,Iyer,Guwahati,India,734736,false,2023-10-06
84,84,Diya,Iyer,Ahmedabad,India,219180,true,2023-03-03
85,85,Nisha,Sharma,Lucknow,India,509995,false,2024-11-29
86,86,Priya,Singh,Coimbatore,India,825256,true,2024-03-20
87,87,Kavya,Verma,Mumbai,India,554137,false,2024-03-30
88,88,Rahul,Singh,Coimbatore,India,320184,true,2023-05-24
89,89,Arjun,Gupta,Nashik,India,297775,false,2025-08-05
90,90,Kabir,Gupta,Kochi,India,645977,true,2024-07-22
91,91,Kavya,Nair,Dehradun,India,138102,false,2025-07-23
92,92,Sneha,Patel,Patna,India,827627,true,2025-01-02
93,93,Aisha,Nair,Coimbatore,India,827952,false,2025-10-29
94,94,Priya,Patel,Chandigarh,India,314532,true,2023-06-19
95,95,Rahul,Mehta,Mumbai,India,128295,false,2023-01-29
96,96,Pooja,Joshi,Kolkata,India,977699,true,2024-05-14
97,97,Nisha,Mehta,Bengaluru,India,743162,false,2025-12-29
98,98,Nisha,Joshi,Jaipur,India,186188,true,2024-12-14
99,99,Simran,Nair,Pune,India,811131,false,2024-10-14
100,100,Priya,Joshi,Delhi,India,663586,true,2024-03-31
101,101,Pooja,Iyer,Nagpur,India,313920,false,2023-12-14
102,102,Rohan,Nair,Coimbatore,India,604492,true,2025-07-22
103,103,Isha,Gupta,Ranchi,India,586261,false,2024-11-02
104,104,Rahul,Verma,Jaipur,India,523570,true,2023-07-22
105,105,Priya,Sharma,Bhubaneswar,India,359214,false,2023-02-16
106,106,Sneha,Nair,Ranchi,India,645735,true,2024-10-17
107,107,Neha,Khan,Surat,India,260775,false,2023-12-24
108,108,Ananya,Nair,Siliguri,India,395451,true,2024-11-06
109,109,Rahul,Iyer,Lucknow,India,644447,false,2025-01-01
110,110,Pooja,Iyer,Delhi,India,417428,true,2024-05-16
111,111,Riya,Singh,Amritsar,India,498929,false,2024-04-05
112,112,Rahul,Iyer,Chandigarh,India,578007,true,2025-06-01
113,113,Simran,Gupta,Nashik,India,625303,false,2025-03-08
114,114,Aarav,Patel,Patna,India,212816,true,2024-01-09
115,115,Pooja,Sharma,Chandigarh,India,962312,false,2025-05-02
116,116,Aarav,Gupta,Ranchi,India,803286,true,2024-05-25
117,117,Pooja,Gupta,Dehradun,India,335365,false,2024-06-01
118,118,Rahul,Gupta,Dehradun,India,104809,true,2025-02-09
119,119,Pooja,Gupta,Bhubaneswar,India,138765,false,2023-03-24
120,120,Nisha,Verma,Delhi,India,399888,true,2023-01-01
121,121,Vivaan,Khan,Bengaluru,India,900921,false,2024-05-02
122,122,Vivaan,Mehta,Ahmedabad,India,412066,true,2023-09-07
123,123,Aarav,Mehta,Coimbatore,India,731172,false,2023-09-25
124,124,Pooja,Joshi,Patna,India,101252,true,2025-09-16
125,125,Kavya,Patel,Mysuru,India,415826,false,2025-05-02
126,126,Rohan,Patel,Amritsar,India,863185,true,2023-04-13
127,127,Simran,Singh,Chandigarh,India,576467,false,2023-04-08
128,128,Rohan,Sharma,Nagpur,India,404462,true,2023-09-06
129,129,Aisha,Singh,Guwahati,India,347940,false,2025-10-16
130,130,Arjun,Nair,Nagpur,India,316464,true,2025-03-07
131,131,Diya,Khan,Dehradun,India,323777,false,2025-02-23
132,132,Vivaan,Singh,Patna,India,779574,true,2023-02-22
133,133,Sneha,Mehta,Ranchi,India,124071,false,2025-04-27
134,134,Ananya,Verma,Nagpur,India,272312,true,2025-06-18
135,135,Simran,Nair,Mumbai,India,517170,false,2024-10-28
136,136,Simran,Nair,Ahmedabad,India,441396,true,2025-10-25
137,137,Aarav,Gupta,Hyderabad,India,247979,false,2025-04-17
138,138,Kavya,Patel,Guwahati,India,191865,true,2023-12-12
139,139,Meera,Iyer,Ahmedabad,India,883415,false,2025-03-04
140,140,Sneha,Sharma,Lucknow,India,310176,true,2023-12-16
141,141,Pooja,Singh,Pune,India,618862,false,2023-01-08
142,142,Kavya,Nair,Nashik,India,167661,true,2023-10-30
143,143,Kavya,Khan,Mumbai,India,760482,false,2023-12-31
144,144,Kavya,Patel,Amritsar,India,729474,true,2025-07-07
145,145,Rahul,Nair,Bengaluru,India,347736,false,2025-11-04
146,146,Neha,Iyer,Guwahati,India,758956,true,2023-03-27
147,147,Arjun,Nair,Jaipur,India,706440,false,2023-01-25
148,148,Simran,Verma,Patna,India,126069,true,2023-04-19
149,149,Meera,Khan,Chennai,India,181264,false,2023-02-03
150,150,Nisha,Nair,Hyderabad,India,291076,true,2025-01-17
151,151,Vivaan,Khan,Kolkata,India,212581,false,2024-11-22
152,152,Rohan,Mehta,Nashik,India,172303,true,2024-10-23
153,153,Sneha,Khan,Nashik,India,224040,false,2024-05-30
154,154,Aditya,Singh,Chennai,India,890756,true,2025-01-28
155,155,Rohan,Patel,Pune,India,784106,false,2024-07-01
156,156,Meera,Mehta,Ahmedabad,India,487952,true,2023-01-04
157,157,Rohan,Singh,Chandigarh,India,625134,false,2024-05-18
158,158,Ananya,Nair,Mumbai,India,974668,true,2024-12-15
159,159,Arjun,Singh,Pune,India,280448,false,2023-11-22
160,160,Pooja,Sharma,Bhubaneswar,India,341983,true,2024-06-15
161,161,Arjun,Singh,Delhi,India,485925,false,2023-05-19
162,162,Aisha,Gupta,Nashik,India,503081,true,2024-11-20
163,163,Vivaan,Khan,Chandigarh,India,108512,false,2023-06-21
164,164,Pooja,Iyer,Mysuru,India,193070,true,2023-11-25
165,165,Neha,Patel,Bhubaneswar,India,429588,false,2023-11-14
166,166,Sneha,Iyer,Chandigarh,India,446699,true,2024-01-11
167,167,Ananya,Mehta,Chennai,India,357802,false,2024-05-27
168,168,Rahul,Singh,Surat,India,639812,true,2025-05-22
169,169,Nisha,Nair,Lucknow,India,248056,false,2023-01-05
170,170,Simran,Khan,Chennai,India,830406,true,2025-12-01
171,171,Kavya,Singh,Amritsar,India,318134,false,2024-09-07
172,172,Meera,Sharma,Guwahati,India,789376,true,2024-07-28
173,173,Vivaan,Gupta,Chennai,India,192263,false,2025-10-03
174,174,Nisha,Mehta,Amritsar,India,323810,true,2025-11-28
175,175,Nisha,Khan,Kochi,India,580703,false,2024-01-26
176,176,Meera,Sharma,Pune,India,125053,true,2025-11-04
177,177,Arjun,Mehta,Delhi,India,930460,false,2025-07-11
178,178,Aarav,Verma,Ahmedabad,India,945633,true,2025-09-23
179,179,Aisha,Sharma,Ahmedabad,India,548396,false,2024-05-31
180,180,Arjun,Khan,Pune,India,402775,true,2025-03-25
181,181,Ananya,Gupta,Patna,India,184291,false,2023-01-15
182,182,Isha,Patel,Mumbai,India,532882,true,2025-04-23
183,183,Sneha,Gupta,Pune,India,964266,false,2025-03-04
184,184,Rohan,Mehta,Chennai,India,155318,true,2025-05-21
185,185,Kavya,Nair,Kolkata,India,959751,false,2025-03-25
186,186,Simran,Iyer,Delhi,India,288014,true,2025-08-15
187,187,Sneha,Verma,Ranchi,India,605155,false,2025-04-07
188,188,Rahul,Khan,Kochi,India,127632,true,2025-06-06
189,189,Priya,Mehta,Mumbai,India,598716,false,2024-08-26
190,190,Aarav,Gupta,Surat,India,232717,true,2025-02-17
191,191,Aarav,Mehta,Nashik,India,532498,false,2024-02-24
192,192,Meera,Gupta,Patna,India,418408,true,2025-07-24
193,193,Diya,Iyer,Surat,India,984377,false,2023-07-21
194,194,Aditya,Verma,Mysuru,India,566725,true,2025-07-25
195,195,Kabir,Patel,Chandigarh,India,398512,false,2024-01-21
196,196,Sneha,Singh,Ahmedabad,India,604471,true,2024-10-01
197,197,Kabir,Verma,Amritsar,India,906388,false,2023-01-25
198,198,Sneha,Mehta,Siliguri,India,990324,true,2023-06-26
199,199,Kabir,Sharma,Pune,India,119816,false,2025-12-08
200,200,Diya,Mehta,Ahmedabad,India,721019,true,2024-11-19
